OC_ID,first_name,last_name,email,phone_number,Roll Number,type
1,Berget,Doig,Berget.Doig@random.com,9821284926,2018089,Art
2,Lyssa,Liebermann,Lyssa.Liebermann@random.com,9821284383,2018093,Dance
3,Kathy,Ader,Kathy.Ader@random.com,9821285137,2018097,Fun
4,Shaine,Cyrie,Shaine.Cyrie@random.com,9821284582,2018101,Gaming
5,Ivett,Sprage,Ivett.Sprage@random.com,9821284352,2017173,Lifestyle
6,Minda,Pozzy,Minda.Pozzy@random.com,9821285012,2017191,Literary
7,Sallie,Ries,Sallie.Ries@random.com,9821285002,2017209,Music
8,Philis,Wenda,Philis.Wenda@random.com,9821284485,2017227,Photography
9,Gilda,Liebermann,Gilda.Liebermann@random.com,9821284941,2017245,Quiz
10,Ashlee,Socha,Ashlee.Socha@random.com,9821284472,2017263,Tech
11,Netty,Gherardo,Netty.Gherardo@random.com,9821284204,2018112,Theatre
