volunteer_ID,rollnumber,firstname,lastname,email,institute,phonenumber
1,2018226,Fidelia,Malanie,Fidelia.Malanie@random.com,IIT - Delhi,9821284766
2,2018358,Brooks,Elvyn,Brooks.Elvyn@random.com,Bhagwan Parshuram,9821284302
3,2018433,Malina,Macey,Malina.Macey@random.com,NIFT Delhi,9821284480
4,2018229,Barbara,Atonsah,Barbara.Atonsah@random.com,LSR,9821284725
5,2018454,Tami,Annice,Tami.Annice@random.com,IIT - Delhi,9821285106
6,2018205,Barbara,Buttaro,Barbara.Buttaro@random.com,IGNOU,9821285048
7,2018307,Selma,Georas,Selma.Georas@random.com,Hansraj College,9821284300
8,2018340,Corene,Thema,Corene.Thema@random.com,IIT - Delhi,9821285185
9,2020021,Pamella,Honoria,Pamella.Honoria@random.com,Miranda House,9821284880
10,2018238,Sharlene,Pitt,Sharlene.Pitt@random.com,Ramjas College,9821284230
11,2018412,Celisse,Terencio,Celisse.Terencio@random.com,Bhagwan Parshuram,9821284541
12,2018475,Jenilee,Frodi,Jenilee.Frodi@random.com,DTU,9821284217
13,2020017,Doro,Irmine,Doro.Irmine@random.com,BITS Pilani,9821284812
14,2018394,Joleen,Leifeste,Joleen.Leifeste@random.com,IIT - Roorkee,9821284408
15,2018139,Jacenta,Oriana,Jacenta.Oriana@random.com,Kamla Nehru,9821285150
16,2018124,Eadie,Craggie,Eadie.Craggie@random.com,IGDTUW,9821284342
17,2019024,Amara,Weide,Amara.Weide@random.com,Hindu College,9821284500
18,2018487,Alie,Diogenes,Alie.Diogenes@random.com,Bhagwan Parshuram,9821284223
19,2018361,Annice,Dex,Annice.Dex@random.com,DTU,9821284717
20,2018355,Ingrid,Roche,Ingrid.Roche@random.com,Gargi College,9821284801
21,2020041,Blinni,Dash,Blinni.Dash@random.com,BITS Goa,9821284538
22,2018274,Carol-Jean,Ehrman,Carol-Jean.Ehrman@random.com,MSIT,9821284364
23,2018391,Marcelline,Melan,Marcelline.Melan@random.com,Amity University,9821284982
24,2018199,Damaris,Mathilde,Damaris.Mathilde@random.com,Bennette University ,9821284710
25,2020029,Sheree,Harday,Sheree.Harday@random.com,Jesus Mary College,9821285162
26,2018430,Tori,Bobbee,Tori.Bobbee@random.com,BITS Pilani,9821284595
27,2018280,Brietta,Killigrew,Brietta.Killigrew@random.com,Ramjas College,9821284684
28,2018130,Blake,Dyche,Blake.Dyche@random.com,Amity University,9821285102
29,2018163,Evita,Angelis,Evita.Angelis@random.com,BITS Pilani,9821284609
30,2019164,Blinni,Nerita,Blinni.Nerita@random.com,Bennette University ,9821284907
31,2018490,Livvyy,Baptlsta,Livvyy.Baptlsta@random.com,Bhagwan Parshuram,9821285016
32,2018445,Ericka,Lucienne,Ericka.Lucienne@random.com,Bennette University ,9821284677
33,2020061,Giustina,Love,Giustina.Love@random.com,DTU,9821284440
34,2018385,Rani,Marisa,Rani.Marisa@random.com,Bhagwan Parshuram,9821284402
35,2018286,Nollie,Arathorn,Nollie.Arathorn@random.com,NSUT,9821285039
36,2018364,Violet,Rebecka,Violet.Rebecka@random.com,NSUT,9821285148
37,2019038,Shell,Arvo,Shell.Arvo@random.com,Bhagwan Parshuram,9821285037
38,2018232,Anestassia,Schonfeld,Anestassia.Schonfeld@random.com,BITS Pilani,9821284692
39,2018166,Nickie,Odysseus,Nickie.Odysseus@random.com,Miranda House,9821284951
40,2018298,Ivett,O'Rourke,Ivett.O'Rourke@random.com,Jaypee Institute,9821285076
41,2018424,Jemie,Stilwell,Jemie.Stilwell@random.com,IGDTUW,9821284644
42,2018181,Jean,Land,Jean.Land@random.com,IIT - Roorkee,9821284233
43,2018193,Rosabelle,Gaynor,Rosabelle.Gaynor@random.com,IGDTUW,9821284761
44,2018247,Glenda,Israeli,Glenda.Israeli@random.com,Bhagwan Parshuram,9821284716
45,2019199,Sophia,Odysseus,Sophia.Odysseus@random.com,Pearl Academy ,9821284757
46,2018208,Nita,Emerson,Nita.Emerson@random.com,IGNOU,9821284362
47,2019052,Meg,Constancy,Meg.Constancy@random.com,DTU,9821284963
48,2018388,Tilly,Hathaway,Tilly.Hathaway@random.com,Pearl Academy ,9821284399
49,2018151,Tera,Rolf,Tera.Rolf@random.com,IIT - Delhi,9821284647
50,2018154,Rivalee,Trey,Rivalee.Trey@random.com,Jesus Mary College,9821284585
51,2020037,Minne,Jerald,Minne.Jerald@random.com,St. Stephen's College,9821284529
52,2018325,Lilith,Poll,Lilith.Poll@random.com,Jaypee Institute,9821284900
